company_name,company_number,company_status,company_type,date_of_cessation,date_of_creation,sic_codes,company_subtype,address_line_1,locality,postal_code,address_line_2,region,country,SICCODE_0,SICCODE_1,SICCODE_2,SICCODE_3,Value
NEW LAL GOLAP LTD,7805572,dissolved,ltd,06-11-2018,11-10-2011,['56101'],,187 London Road,Burgess Hill,RH15 8LH,,,England,56101,,,,TRUE
BEXHILL ENTERPRISE LIMITED,7805866,dissolved,ltd,30-09-2014,11-10-2011,['56101'],,17-21 Cooden Sea Road,Bexhill-On-Sea,TN39 4SJ,,East Sussex,England,56101,,,,TRUE
DUGGAN AND HURST LIMITED,7803991,dissolved,ltd,02-05-2017,10-10-2011,['56101'],,Gough House,Kingston Upon Thames,KT1 1DA,57 Eden Street,Surrey,,56101,,,,TRUE
BLUE THAI KITCHEN LTD,7806028,dissolved,ltd,04-12-2021,11-10-2011,['56101'],,1 Radian Court,Milton Keynes,MK5 8PJ,Knowlhill,,,56101,,,,TRUE
DELHICIOUS SPICE LIMITED,7805431,dissolved,ltd,17-01-2017,11-10-2011,['56101'],,139 Wilbraham Road,Manchester,M14 7DS,Fallowfield,,,56101,,,,TRUE
ACHA HAI LIMITED,7804640,dissolved,ltd,15-03-2016,11-10-2011,['56101'],,76 George Street,Corby,NN17 1QE,,Northamptonshire,United Kingdom,56101,,,,TRUE
VP1 LIMITED,7805020,dissolved,ltd,05-05-2015,11-10-2011,['56101'],,27 High View Close,Leicester,LE4 9LJ,Hamilton Office Park,,England,56101,,,,TRUE
MANAKAMANA FOOD LIMITED,7806874,dissolved,ltd,24-02-2015,12-10-2011,['56101'],,54 Walsall Street,Wolverhampton,WV1 3LL,,,,56101,,,,TRUE
CS CAMBRIDGE LIMITED,7807566,dissolved,ltd,13-02-2018,12-10-2011,['56101'],,Quern House Mill Court,Cambridge,CB22 5LD,Great Shelford,,England,56101,,,,TRUE
GURKHA TANDOORI (UK) LIMITED,7807794,dissolved,ltd,10-10-2017,12-10-2011,['56101'],,36 Chorley Road Swinton,Manchester,M27 5AF,,,,56101,,,,TRUE
